n,theta_decimal,rho_decimal,bin,strand,slip,jump,next_bin,reference_x_numeric,approximate_x_numeric,approximate_bin_numeric,phase_error_numeric,ideal_bin_certified,numeric_bin_agrees
0,0.0000000000000000000000000,0.0000000000000000000000000,0,0,1,14,14,0,0,0,0,true,true
1,0.3819660112501051517954132,0.8966744387541009200211135,14,2,0,15,29,0.38196601125010515,0.38196601125010515,14,0,true,true
2,0.7639320225002103035908263,0.7933488775082018400422269,29,2,0,15,5,0.7639320225002103,0.7639320225002103,29,0,true,true
3,0.1458980337503154553862395,0.6900233162623027600633404,5,2,0,15,20,0.14589803375031546,0.14589803375031551,5,0,true,true
4,0.5278640450004206071816527,0.5866977550164036800844538,20,2,0,15,35,0.5278640450004206,0.5278640450004206,20,0,true,true
5,0.9098300562505257589770658,0.4833721937705046001055673,35,2,0,15,11,0.9098300562505257,0.9098300562505257,35,0,true,true
6,0.2917960675006309107724790,0.3800466325246055201266808,11,2,0,15,26,0.2917960675006309,0.2917960675006308,11,1.1102230246251565e-16,true,true
7,0.6737620787507360625678922,0.2767210712787064401477942,26,2,0,15,2,0.673762078750736,0.6737620787507359,26,1.1102230246251565e-16,true,true
8,0.0557280900008412143633053,0.1733955100328073601689077,2,2,0,15,17,0.05572809000084122,0.055728090000841,2,2.220446049250313e-16,true,true
9,0.4376941012509463661587185,0.0700699487869082801900211,17,2,1,14,31,0.4376941012509464,0.43769410125094615,17,2.220446049250313e-16,true,true
10,0.8196601125010515179541317,0.9667443875410092002111346,31,1,0,15,7,0.8196601125010515,0.8196601125010513,31,2.220446049250313e-16,true,true
11,0.2016261237511566697495448,0.8634188262951101202322481,7,1,0,15,22,0.20162612375115668,0.20162612375115652,7,1.6653345369377348e-16,true,true
12,0.5835921350012618215449580,0.7600932650492110402533615,22,1,0,15,37,0.5835921350012618,0.5835921350012616,22,2.220446049250313e-16,true,true
13,0.9655581462513669733403712,0.6567677038033119602744750,37,1,0,15,13,0.9655581462513669,0.9655581462513667,37,2.220446049250313e-16,true,true
14,0.3475241575014721251357843,0.5534421425574128802955884,13,1,0,15,28,0.34752415750147214,0.3475241575014718,13,3.3306690738754696e-16,true,true
15,0.7294901687515772769311975,0.4501165813115138003167019,28,1,0,15,4,0.7294901687515772,0.7294901687515769,28,3.3306690738754696e-16,true,true
16,0.1114561800016824287266107,0.3467910200656147203378154,4,1,0,15,19,0.11145618000168243,0.111456180001682,4,4.440892098500626e-16,true,true
17,0.4934221912517875805220238,0.2434654588197156403589288,19,1,0,15,34,0.4934221912517876,0.49342219125178716,19,4.440892098500626e-16,true,true
18,0.8753882025018927323174370,0.1401398975738165603800423,34,1,0,15,10,0.8753882025018928,0.8753882025018923,34,4.440892098500626e-16,true,true
19,0.2573542137519978841128501,0.0368143363279174804011557,10,1,1,14,24,0.2573542137519979,0.2573542137519975,10,3.885780586188048e-16,true,true
20,0.6393202250021030359082633,0.9334887750820184004222692,24,0,0,15,0,0.6393202250021031,0.6393202250021026,24,4.440892098500626e-16,true,true
21,0.0212862362522081877036765,0.8301632138361193204433827,0,0,0,15,15,0.02128623625220819,0.021286236252207713,0,4.996003610813204e-16,true,true
22,0.4032522475023133394990896,0.7268376525902202404644961,15,0,0,15,30,0.40325224750231337,0.40325224750231287,15,4.996003610813204e-16,true,true
23,0.7852182587524184912945028,0.6235120913443211604856096,30,0,0,15,6,0.7852182587524185,0.785218258752418,30,4.440892098500626e-16,true,true
24,0.1671842700025236430899160,0.5201865300984220805067230,6,0,0,15,21,0.16718427000252364,0.16718427000252323,6,4.440892098500626e-16,true,true
25,0.5491502812526287948853291,0.4168609688525230005278365,21,0,0,15,36,0.5491502812526288,0.5491502812526283,21,4.440892098500626e-16,true,true
26,0.9311162925027339466807423,0.3135354076066239205489500,36,0,0,15,12,0.931116292502734,0.9311162925027334,36,5.551115123125783e-16,true,true
27,0.3130823037528390984761555,0.2102098463607248405700634,12,0,0,15,27,0.3130823037528391,0.3130823037528385,12,5.551115123125783e-16,true,true
28,0.6950483150029442502715686,0.1068842851148257605911769,27,0,0,15,3,0.6950483150029443,0.6950483150029436,27,6.661338147750939e-16,true,true
29,0.0770143262530494020669818,0.0035587238689266806122903,3,0,1,14,17,0.07701432625304941,0.07701432625304871,3,6.661338147750939e-16,true,true
30,0.4589803375031545538623950,0.9002331626230276006334038,17,2,0,15,32,0.45898033750315453,0.45898033750315387,17,6.661338147750939e-16,true,true
31,0.8409463487532597056578081,0.7969076013771285206545173,32,2,0,15,8,0.8409463487532597,0.840946348753259,32,6.661338147750939e-16,true,true
32,0.2229123600033648574532213,0.6935820401312294406756307,8,2,0,15,23,0.22291236000336487,0.22291236000336423,8,6.661338147750939e-16,true,true
33,0.6048783712534700092486345,0.5902564788853303606967442,23,2,0,15,38,0.60487837125347,0.6048783712534693,23,6.661338147750939e-16,true,true
34,0.9868443825035751610440476,0.4869309176394312807178576,38,2,0,15,14,0.9868443825035752,0.9868443825035744,38,7.771561172376096e-16,true,true
35,0.3688103937536803128394608,0.3836053563935322007389711,14,2,0,15,29,0.3688103937536803,0.3688103937536795,14,7.771561172376096e-16,true,true
36,0.7507764050037854646348740,0.2802797951476331207600846,29,2,0,15,5,0.7507764050037855,0.7507764050037846,29,8.881784197001252e-16,true,true
37,0.1327424162538906164302871,0.1769542339017340407811980,5,2,0,15,20,0.1327424162538906,0.13274241625388972,5,8.881784197001252e-16,true,true
38,0.5147084275039957682257003,0.0736286726558349608023115,20,2,1,14,34,0.5147084275039958,0.5147084275039948,20,9.992007221626409e-16,true,true
39,0.8966744387541009200211135,0.9703031114099358808234249,34,1,0,15,10,0.8966744387541009,0.8966744387540999,34,9.992007221626409e-16,true,true
40,0.2786404500042060718165266,0.8669775501640368008445384,10,1,0,15,25,0.27864045000420606,0.278640450004205,10,1.0547118733938987e-15,true,true
41,0.6606064612543112236119398,0.7636519889181377208656518,25,1,0,15,1,0.6606064612543112,0.6606064612543101,25,1.1102230246251565e-15,true,true
42,0.0425724725044163754073530,0.6603264276722386408867653,1,1,0,15,16,0.04257247250441638,0.042572472504415204,1,1.1657341758564144e-15,true,true
43,0.4245384837545215272027661,0.5570008664263395609078788,16,1,0,15,31,0.4245384837545215,0.42453848375452036,16,1.1657341758564144e-15,true,true
44,0.8065044950046266789981793,0.4536753051804404809289922,31,1,0,15,7,0.8065044950046267,0.8065044950046255,31,1.2212453270876722e-15,true,true
45,0.1884705062547318307935925,0.3503497439345414009501057,7,1,0,15,22,0.18847050625473183,0.18847050625473072,7,1.1102230246251565e-15,true,true
46,0.5704365175048369825890056,0.2470241826886423209712191,22,1,0,15,37,0.570436517504837,0.5704365175048358,22,1.2212453270876722e-15,true,true
47,0.9524025287549421343844188,0.1436986214427432409923326,37,1,0,15,13,0.9524025287549421,0.9524025287549409,37,1.2212453270876722e-15,true,true
48,0.3343685400050472861798320,0.0403730601968441610134461,13,1,1,14,27,0.3343685400050473,0.334368540005046,13,1.27675647831893e-15,true,true
49,0.7163345512551524379752451,0.9370474989509450810345595,27,0,0,15,3,0.7163345512551524,0.7163345512551511,27,1.3322676295501878e-15,true,true
50,0.0983005625052575897706583,0.8337219377050460010556730,3,0,0,15,18,0.0983005625052576,0.0983005625052562,3,1.3877787807814457e-15,true,true
51,0.4802665737553627415660714,0.7303963764591469210767864,18,0,0,15,33,0.48026657375536275,0.48026657375536136,18,1.3877787807814457e-15,true,true
52,0.8622325850054678933614846,0.6270708152132478410978999,33,0,0,15,9,0.8622325850054678,0.8622325850054665,33,1.3322676295501878e-15,true,true
53,0.2441985962555730451568978,0.5237452539673487611190134,9,0,0,15,24,0.24419859625557305,0.24419859625557172,9,1.3322676295501878e-15,true,true
54,0.6261646075056781969523109,0.4204196927214496811401268,24,0,0,15,0,0.6261646075056782,0.6261646075056768,24,1.3322676295501878e-15,true,true
55,0.0081306187557833487477241,0.3170941314755506011612403,0,0,0,15,15,0.008130618755783348,0.008130618755781915,0,1.4432899320127035e-15,true,true
56,0.3900966300058885005431373,0.2137685702296515211823537,15,0,0,15,30,0.3900966300058885,0.39009663000588707,15,1.4432899320127035e-15,true,true
57,0.7720626412559936523385504,0.1104430089837524412034672,30,0,0,15,6,0.7720626412559937,0.7720626412559922,30,1.4432899320127035e-15,true,true
58,0.1540286525060988041339636,0.0071174477378533612245807,6,0,1,14,20,0.15402865250609882,0.15402865250609743,6,1.3877787807814457e-15,true,true
59,0.5359946637562039559293768,0.9037918864919542812456941,20,2,0,15,35,0.535994663756204,0.5359946637562025,20,1.4432899320127035e-15,true,true
60,0.9179606750063091077247899,0.8004663252460552012668076,35,2,0,15,11,0.9179606750063091,0.9179606750063076,35,1.4432899320127035e-15,true,true
61,0.2999266862564142595202031,0.6971407640001561212879210,11,2,0,15,26,0.2999266862564143,0.2999266862564127,11,1.5543122344752192e-15,true,true
62,0.6818926975065194113156163,0.5938152027542570413090345,26,2,0,15,2,0.6818926975065194,0.6818926975065178,26,1.5543122344752192e-15,true,true
63,0.0638587087566245631110294,0.4904896415083579613301480,2,2,0,15,17,0.06385870875662457,0.06385870875662292,2,1.6653345369377348e-15,true,true
64,0.4458247200067297149064426,0.3871640802624588813512614,17,2,0,15,32,0.44582472000672974,0.44582472000672807,17,1.6653345369377348e-15,true,true
65,0.8277907312568348667018558,0.2838385190165598013723749,32,2,0,15,8,0.8277907312568349,0.8277907312568332,32,1.6653345369377348e-15,true,true
66,0.2097567425069400184972689,0.1805129577706607213934883,8,2,0,15,23,0.20975674250694,0.20975674250693843,8,1.5543122344752192e-15,true,true
67,0.5917227537570451702926821,0.0771873965247616414146018,23,2,1,14,37,0.5917227537570452,0.5917227537570435,23,1.6653345369377348e-15,true,true
68,0.9736887650071503220880953,0.9738618352788625614357153,37,1,0,15,13,0.9736887650071503,0.9736887650071486,37,1.6653345369377348e-15,true,true
69,0.3556547762572554738835084,0.8705362740329634814568287,13,1,0,15,28,0.3556547762572555,0.3556547762572537,13,1.7763568394002505e-15,true,true
70,0.7376207875073606256789216,0.7672107127870644014779422,28,1,0,15,4,0.7376207875073606,0.7376207875073588,28,1.7763568394002505e-15,true,true
71,0.1195867987574657774743348,0.6638851515411653214990556,4,1,0,15,19,0.11958679875746578,0.11958679875746392,4,1.887379141862766e-15,true,true
72,0.5015528100075709292697479,0.5605595902952662415201691,19,1,0,15,34,0.5015528100075709,0.501552810007569,19,1.887379141862766e-15,true,true
73,0.8835188212576760810651611,0.4572340290493671615412826,34,1,0,15,10,0.8835188212576761,0.8835188212576741,34,1.9984014443252818e-15,true,true
74,0.2654848325077812328605743,0.3539084678034680815623960,10,1,0,15,25,0.2654848325077812,0.2654848325077792,10,1.9984014443252818e-15,true,true
75,0.6474508437578863846559874,0.2505829065575690015835095,25,1,0,15,1,0.6474508437578864,0.6474508437578843,25,2.1094237467877974e-15,true,true
76,0.0294168550079915364514006,0.1472573453116699216046229,1,1,0,15,16,0.029416855007991537,0.029416855007989406,1,2.1094237467877974e-15,true,true
77,0.4113828662580966882468138,0.0439317840657708416257364,16,1,1,14,30,0.41138286625809667,0.41138286625809456,16,2.1094237467877974e-15,true,true
